what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delimiter.windows",1403681112735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403681135948
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403681139563
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1403681139572
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1403681141306
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1403681147990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403681158203
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403681167610
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1403681169202
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1403681182076
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1403681183128
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1403681184228
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1403681184294
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1403681185060
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1403681185263
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1403681186952
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1403681187088
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403681193142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403681200789
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403681204145
